0,overgrow,powers_up_grass-type_moves_when_the_pokémon's_hp_is_low.
1,thick_fat,the_pokémon_is_protected_by_a_layer_of_thick_fat_which_halves_the_damage_taken_from_fire-_and_ice-type_moves._
2,blaze,powers_up_fire-type_moves_when_the_pokémon's_hp_is_low._
3,tough_claws,powers_up_moves_that_make_direct_contact._
4,drought,turns_the_sunlight_harsh_when_the_pokémon_enters_a_battle.
5,torrent,powers_up_water-type_moves_when_the_pokémon's_hp_is_low._
6,mega_launcher,powers_up_aura_and_pulse_moves._
7,rattled,dark-_ghost-_and_bug-type_moves_scare_the_pokémon_and_boost_its_speed_stat.
8,punk_rock,boosts_the_power_of_sound-based_moves._the_pokémon_also_takes_half_the_damage_from_these_kinds_of_moves.
9,poison_point,contact_with_the_pokémon_may_poison_the_attacker.
10,rivalry,becomes_competitive_and_deals_more_damage_to_pokémon_of_the_same_gender_but_deals_less_to_pokémon_of_the_opposite_gender.
11,shed_skin,the_pokémon_may_heal_its_own_status_conditions_by_shedding_its_skin.
12,compound_eyes,the_pokémon's_compound_eyes_boost_its_accuracy.
13,no_guard,the_pokémon_employs_no-guard_tactics_to_ensure_incoming_and_outgoing_attacks_always_land.
14,swarm,powers_up_bug-type_moves_when_the_pokémon's_hp_is_low.
15,adaptability,powers_up_moves_of_the_same_type_as_the_pokémon.
16,limber,its_limber_body_protects_the_pokémon_from_paralysis.
17,shield_dust,this_pokémon's_dust_blocks_the_additional_effects_of_attacks_taken.
18,hydration,heals_status_conditions_if_it's_raining.
19,inner_focus,the_pokémon's_intensely_focused_and_that_protects_the_pokémon_from_flinching.
20,unseen_fist,the_pokémon_can_deal_damage_with_moves_that_make_physical_contact_even_if_the_target_is_protected.
21,unnerve,unnerves_opposing_pokémon_and_makes_them_unable_to_eat_berries.
22,synchronize,the_attacker_will_receive_the_same_status_condition_if_it_inflicts_a_burn_poison_or_paralysis_to_the_pokémon.
23,pressure,by_putting_pressure_on_the_opposing_pokémon_it_raises_their_pp_usage.
24,steadfast,the_pokémon's_determination_boosts_the_speed_stat_each_time_the_pokémon_flinches.
25,insomnia,the_pokémon_is_suffering_from_insomnia_and_cannot_fall_asleep.
26,magnet_pull,prevents_steel-type_pokémon_from_escaping_using_its_magnetic_force.
27,soundproof,soundproofing_gives_the_pokémon_full_immunity_to_all_sound-based_moves.
28,cute_charm,contact_with_the_pokémon_may_cause_infatuation.
29,flash_fire,powers_up_the_pokémon's_fire-type_moves_if_it's_hit_by_one.
30,snow_cloak,boosts_evasiveness_in_a_hailstorm.
31,chlorophyll,boosts_the_pokémon's_speed_stat_in_harsh_sunlight._
32,effect_spore,contact_with_the_pokémon_may_inflict_poison_sleep_or_paralysis_on_its_attacker.
33,sand_veil,boosts_the_pokémon's_evasiveness_in_a_sandstorm.
34,keen_eye,keen_eyes_prevent_other_pokémon_from_lowering_this_pokémon's_accuracy.
35,run_away,enables_a_sure_getaway_from_wild_pokémon.
36,gluttony,makes_the_pokémon_eat_a_held_berry_when_its_hp_drops_to_half_or_less_which_is_sooner_than_usual.
37,intimidate,the_pokémon_intimidates_opposing_pokémon_upon_entering_battle_lowering_their_attack_stat.
38,static,the_pokémon_is_charged_with_static_electricity_so_contact_with_it_may_cause_paralysis.
39,surge_surfer,doubles_the_pokémon's_speed_stat_on_electric_terrain.
40,pickup,the_pokémon_may_pick_up_the_item_an_opposing_pokémon_used_during_a_battle._it_may_pick_up_items_outside_of_battle_too.
41,battle_armor,hard_armor_protects_the_pokémon_from_critical_hits.
42,fur_coat,halves_the_damage_from_physical_moves.
43,damp,prevents_the_use_of_explosive_moves_such_as_self-destruct_by_dampening_its_surroundings.
44,rock_head,protects_the_pokémon_from_recoil_damage.
45,own_tempo,this_pokémon_has_its_own_tempo_and_that_prevents_it_from_becoming_confused.
46,levitate,by_floating_in_the_air_the_pokémon_receives_full_immunity_to_all_ground-type_moves.
47,lightning_rod,the_pokémon_draws_in_all_electric-type_moves._instead_of_being_hit_by_electric-type_moves_it_boosts_its_sp._atk.
48,natural_cure,all_status_conditions_heal_when_the_pokémon_switches_out.
49,early_bird,the_pokémon_awakens_from_sleep_twice_as_fast_as_other_pokémon.
50,swift_swim,boosts_the_pokémon's_speed_stat_in_rain.
51,illuminate,raises_the_likelihood_of_meeting_wild_pokémon_by_illuminating_the_surroundings.
52,oblivious,the_pokémon_is_oblivious_and_that_keeps_it_from_being_infatuated_or_falling_for_taunts.
53,flame_body,contact_with_the_pokémon_may_burn_the_attacker.
54,hyper_cutter,the_pokémon's_proud_of_its_powerful_pincers._they_prevent_other_pokémon_from_lowering_its_attack_stat.
55,water_absorb,restores_hp_if_hit_by_a_water-type_move_instead_of_taking_damage.
56,volt_absorb,restores_hp_if_hit_by_an_electric-type_move_instead_of_taking_damage.
57,trace,when_it_enters_a_battle_the_pokémon_copies_an_opposing_pokémon's_ability.
58,immunity,the_immune_system_of_the_pokémon_prevents_it_from_getting_poisoned.
59,hustle,boosts_the_attack_stat_but_lowers_accuracy.
60,sturdy,it_cannot_be_knocked_out_with_one_hit._one-hit_ko_moves_cannot_knock_it_out_either.
61,speed_boost,its_speed_stat_is_boosted_every_turn.
62,shadow_tag,this_pokémon_steps_on_the_opposing_pokémon's_shadow_to_prevent_it_from_escaping.
63,serene_grace,boosts_the_likelihood_of_additional_effects_occurring_when_attacking.
64,guts,it's_so_gutsy_that_having_a_status_condition_boosts_the_pokémon's_attack_stat.
65,magma_armor,the_pokémon_is_covered_with_hot_magma_which_prevents_the_pokémon_from_becoming_frozen.
66,suction_cups,this_pokémon_uses_suction_cups_to_stay_in_one_spot_to_negate_all_moves_and_items_that_force_switching_out.
67,vital_spirit,the_pokémon_is_full_of_vitality_and_that_prevents_it_from_falling_asleep.
68,sand_stream,the_pokémon_summons_a_sandstorm_when_it_enters_a_battle.
69,truant,the_pokémon_can't_use_a_move_if_it_had_used_a_move_on_the_previous_turn.
70,wonder_guard,its_mysterious_power_only_lets_supereffective_moves_hit_the_pokémon.
71,pure_power,using_its_pure_power_the_pokémon_doubles_its_attack_stat.
72,plus,boosts_the_sp._atk_stat_of_the_pokémon_if_an_ally_with_the_plus_or_minus_ability_is_also_in_battle.
73,minus,boosts_the_sp._atk_stat_of_the_pokémon_if_an_ally_with_the_plus_or_minus_ability_is_also_in_battle.
74,liquid_ooze,the_oozed_liquid_has_a_strong_stench_which_damages_attackers_using_any_draining_move.
75,rough_skin,this_pokémon_inflicts_damage_with_its_rough_skin_to_the_attacker_on_contact.
76,water_veil,the_pokémon_is_covered_with_a_water_veil_which_prevents_the_pokémon_from_getting_a_burn.
77,white_smoke,the_pokémon_is_protected_by_its_white_smoke_which_prevents_other_pokémon_from_lowering_its_stats.
78,marvel_scale,the_pokémon's_marvelous_scales_boost_the_defense_stat_if_it_has_a_status_condition.
79,forecast,the_pokémon_transforms_with_the_weather_to_change_its_type_to_water_fire_or_ice.
80,color_change,the_pokémon's_type_becomes_the_type_of_the_move_used_on_it.
81,shell_armor,a_hard_shell_protects_the_pokémon_from_critical_hits.
82,clear_body,prevents_other_pokémon's_moves_or_abilities_from_lowering_the_pokémon's_stats.
83,drizzle,the_pokémon_makes_it_rain_when_it_enters_a_battle.
84,air_lock,eliminates_the_effects_of_weather.
85,simple,the_stat_changes_the_pokémon_receives_are_doubled.
86,mold_breaker,moves_can_be_used_on_the_target_regardless_of_its_abilities.
87,anticipation,the_pokémon_can_sense_an_opposing_pokémon's_dangerous_moves.
88,honey_gather,the_pokémon_may_gather_honey_after_a_battle.
89,flower_gift,boosts_the_attack_and_sp._def_stats_of_itself_and_allies_in_harsh_sunlight.
90,sticky_hold,items_held_by_the_pokémon_are_stuck_fast_and_cannot_be_removed_by_other_pokémon.
91,technician,powers_up_the_pokémon's_weaker_moves.
92,aftermath,damages_the_attacker_if_it_contacts_the_pokémon_with_a_finishing_hit.
93,stench,by_releasing_stench_when_attacking_this_pokémon_may_cause_the_target_to_flinch.
94,snow_warning,the_pokémon_summons_a_hailstorm_when_it_enters_a_battle.
95,motor_drive,boosts_its_speed_stat_if_hit_by_an_electric-type_move_instead_of_taking_damage.
96,leaf_guard,prevents_status_conditions_in_harsh_sunlight.
97,slow_start,for_five_turns_the_pokémon's_attack_and_speed_stats_are_halved.
98,bad_dreams,reduces_the_hp_of_sleeping_opposing_pokémon.
99,multitype,changes_the_pokémon's_type_to_match_the_plate_or_z-crystal_it_holds.
100,victory_star,boosts_the_accuracy_of_its_allies_and_itself.
